GraphID,NumNodes,NumEdges,MaxPossibleEdges,DensityCategory,DensityValue,MatrixCreationTime_ms,ListCreationTime_ms,AvgMatrixBFSTime_ms,AvgListBFSTime_ms,Algorithm
g_bfs_500_Sparse_1,500,6237,124750,Sparse,0.04999599198396794,1.5293750002456363,0.13620800018543378,13.9161917999445,0.15757499932078645,BFS
g_bfs_500_Sparse_2,500,6237,124750,Sparse,0.04999599198396794,1.590375000887434,0.140583000757033,13.954308000393212,0.14766660060558934,BFS
g_bfs_500_Sparse_3,500,6237,124750,Sparse,0.04999599198396794,1.5204159990389599,1.1201250017620623,13.965500199992675,0.15704139950685203,BFS
g_bfs_500_Sparse_4,500,6237,124750,Sparse,0.04999599198396794,1.5229580003506271,0.12729199988825712,13.966482999603613,0.15585820037813392,BFS
g_bfs_500_Sparse_5,500,6237,124750,Sparse,0.04999599198396794,1.742667000144138,0.20783299987670034,13.863716400010162,0.14929979988664854,BFS
g_bfs_500_Medium_1,500,31187,124750,Medium,0.24999599198396794,7.3188330006814795,0.46670799929415807,14.442799799871864,0.6603999998333165,BFS
g_bfs_500_Medium_2,500,31187,124750,Medium,0.24999599198396794,7.348541999817826,0.4684169998654397,14.44585020035447,0.6770332001906354,BFS
g_bfs_500_Medium_3,500,31187,124750,Medium,0.24999599198396794,7.272458000443294,0.46933299927331973,14.539899800001876,0.6487833998107817,BFS
g_bfs_500_Medium_4,500,31187,124750,Medium,0.24999599198396794,7.1553329999005655,0.4669999998441199,14.387550199899124,0.6608584000787232,BFS
g_bfs_500_Medium_5,500,31187,124750,Medium,0.24999599198396794,7.296083000255749,0.4762500011565862,14.39607519969286,0.6652163992839633,BFS
g_bfs_500_Dense_1,500,74850,124750,Dense,0.6,16.982708999421448,0.9718330002215225,15.095150199704221,1.4940166005544597,BFS
g_bfs_500_Dense_2,500,74850,124750,Dense,0.6,17.362874999889755,1.0092080010508653,15.225016599652008,1.506475000132923,BFS
g_bfs_500_Dense_3,500,74850,124750,Dense,0.6,17.82216700121353,1.0167500004172325,15.216450399384485,1.5008665999630466,BFS
g_bfs_500_Dense_4,500,74850,124750,Dense,0.6,17.136458000095445,1.0282089988322696,15.062699999907636,1.541608399929828,BFS
g_bfs_500_Dense_5,500,74850,124750,Dense,0.6,17.618125000808504,0.9843329989962513,15.225916600320488,1.5016834000562085,BFS
