GraphID,NumNodes,NumEdges,MaxPossibleEdges,DensityCategory,DensityValue,MatrixCreationTime_ms,ListCreationTime_ms,AvgMatrixQueryTime_ms,AvgListQueryTime_ms,Algorithm
g_10_Sparse_1,10,9,45,Sparse,0.2,0.10624999958963599,0.003707998985191807,0.00010708349964261288,3.7479000638995785e-05,has_edge
g_10_Sparse_2,10,9,45,Sparse,0.2,0.017874999684863724,0.002208000296377577,0.00011024999912478961,3.608350016293116e-05,has_edge
g_10_Sparse_3,10,9,45,Sparse,0.2,0.01779200101736933,0.0021670002752216533,0.00010895800005528145,3.6770499718841165e-05,has_edge
g_10_Sparse_4,10,9,45,Sparse,0.2,0.01570799940964207,0.001625001459615305,0.00010981249943142757,3.6624999665946234e-05,has_edge
g_10_Sparse_5,10,9,45,Sparse,0.2,0.0127909988805186,0.0018329992599319667,0.00012297900047997246,4.085399996256456e-05,has_edge
g_10_Medium_1,10,11,45,Medium,0.24444444444444444,0.01487500048824586,0.001958000211743638,0.000120728999718267,4.304200047045015e-05,has_edge
g_10_Medium_2,10,11,45,Medium,0.24444444444444444,0.029457998607540503,0.0027500009309733286,0.00011189599990757415,3.924999964510789e-05,has_edge
g_10_Medium_3,10,11,45,Medium,0.24444444444444444,0.019874998542945832,0.0018749997252598405,0.00010760400073195342,3.5687499803316314e-05,has_edge
g_10_Medium_4,10,11,45,Medium,0.24444444444444444,0.012042000889778137,0.0014170000213198364,0.00011208350042579696,3.924999964510789e-05,has_edge
g_10_Medium_5,10,11,45,Medium,0.24444444444444444,0.01316700036113616,0.0017920010577654466,0.00010618750002322486,3.80415003746748e-05,has_edge
g_10_Dense_1,10,27,45,Dense,0.6,0.031292000130633824,0.00254199949267786,0.00010750000001280569,4.391649963508826e-05,has_edge
g_10_Dense_2,10,27,45,Dense,0.6,0.01866699858510401,0.0018329992599319667,0.00011008300043613417,4.1854000301100314e-05,has_edge
g_10_Dense_3,10,27,45,Dense,0.6,0.02262499947391916,0.0018749997252598405,0.00011162500049977098,4.297949999454431e-05,has_edge
g_10_Dense_4,10,27,45,Dense,0.6,0.01487500048824586,0.0014999986888142303,0.00013360399952944135,4.183349938102765e-05,has_edge
g_10_Dense_5,10,27,45,Dense,0.6,0.05729199983761646,0.002291999408043921,0.00027066650000051595,5.200000032345997e-05,has_edge
g_50_Sparse_1,50,61,1225,Sparse,0.04979591836734694,0.05479199899127707,0.0070000005507608876,0.00011320849989715498,3.893749999406282e-05,has_edge
g_50_Sparse_2,50,61,1225,Sparse,0.04979591836734694,0.030458000765065663,0.005875001079402864,0.00011208300020371098,3.8207999750738963e-05,has_edge
g_50_Sparse_3,50,61,1225,Sparse,0.04979591836734694,0.033041000278899446,0.005249999958323315,0.00011816650021501118,3.777050005737692e-05,has_edge
g_50_Sparse_4,50,61,1225,Sparse,0.04979591836734694,0.03124999966530595,0.005500000042957254,0.0001108545002352912,4.012499994132668e-05,has_edge
g_50_Sparse_5,50,61,1225,Sparse,0.04979591836734694,0.05437499930849299,0.008499999239575118,0.00010616649979056092,3.82704993171501e-05,has_edge
g_50_Medium_1,50,306,1225,Medium,0.24979591836734694,0.08716699994693045,0.007042001016088761,0.00010985399967466947,6.979150020924862e-05,has_edge
g_50_Medium_2,50,306,1225,Medium,0.24979591836734694,0.09341700024378952,0.006791999112465419,0.00011831249958049739,6.737500007147901e-05,has_edge
g_50_Medium_3,50,306,1225,Medium,0.24979591836734694,0.08433299990429077,0.006874999598949216,0.00011237499984417809,6.352049967972562e-05,has_edge
g_50_Medium_4,50,306,1225,Medium,0.24979591836734694,0.0928330009628553,0.007208000170066953,0.00012387500009936048,6.487500013463432e-05,has_edge
g_50_Medium_5,50,306,1225,Medium,0.24979591836734694,0.10895800005528145,0.008291999620269053,0.00012068750038451981,6.320850025076652e-05,has_edge
g_50_Dense_1,50,735,1225,Dense,0.6,0.20429200048965868,0.01195900040329434,0.00011283349977020407,8.760450054978719e-05,has_edge
g_50_Dense_2,50,735,1225,Dense,0.6,0.17999999909079634,0.008916000297176652,0.00013102100001560757,0.00017583350017957855,has_edge
g_50_Dense_3,50,735,1225,Dense,0.6,0.2381249996687984,0.01487500048824586,0.0001096460000553634,8.51459999466897e-05,has_edge
g_50_Dense_4,50,735,1225,Dense,0.6,0.167124999279622,0.06966599903535098,0.0001189164995594183,9.370849966217065e-05,has_edge
g_50_Dense_5,50,735,1225,Dense,0.6,0.16341700029443018,0.007917000402812846,0.00011410400020395173,8.977099969342817e-05,has_edge
g_100_Sparse_1,100,247,4950,Sparse,0.0498989898989899,0.09637500079406891,0.01462500040361192,0.00010970850053126924,4.568750046018977e-05,has_edge
g_100_Sparse_2,100,247,4950,Sparse,0.0498989898989899,0.08237499969254714,0.012541999240056612,0.00010916700011875946,5.0646000090637244e-05,has_edge
g_100_Sparse_3,100,247,4950,Sparse,0.0498989898989899,0.07800000093993731,0.010917001418420114,0.00011079150044679409,4.5208500523585826e-05,has_edge
g_100_Sparse_4,100,247,4950,Sparse,0.0498989898989899,0.07649999861314427,0.011000000085914508,0.00013266649966681143,4.545799947663909e-05,has_edge
g_100_Sparse_5,100,247,4950,Sparse,0.0498989898989899,0.07520899998780806,0.010874999134102836,0.0001246665005965042,5.066700032330118e-05,has_edge
g_100_Medium_1,100,1237,4950,Medium,0.2498989898989899,0.45929199950478505,0.06570900040969718,0.00011358350002410589,9.018750006362097e-05,has_edge
g_100_Medium_2,100,1237,4950,Medium,0.2498989898989899,0.2993340003740741,0.014917000953573734,0.00011172949962201528,9.679200047685299e-05,has_edge
g_100_Medium_3,100,1237,4950,Medium,0.2498989898989899,0.27874999977939297,0.014792000001762062,0.00011029149936803151,0.00010135399952559965,has_edge
g_100_Medium_4,100,1237,4950,Medium,0.2498989898989899,0.3048329999728594,0.01741699998092372,0.00012247900031070458,9.89165000646608e-05,has_edge
g_100_Medium_5,100,1237,4950,Medium,0.2498989898989899,0.28941700111317914,0.01645800148253329,0.00011935399925278034,0.00010066649974760367,has_edge
g_100_Dense_1,100,2970,4950,Dense,0.6,0.7012500009295763,0.024666000172146596,0.00011897950025741011,0.00018714599991653813,has_edge
g_100_Dense_2,100,2970,4950,Dense,0.6,0.6707909997203387,0.029042001187917776,0.00011968750004598405,0.00015406250076921424,has_edge
g_100_Dense_3,100,2970,4950,Dense,0.6,0.6704580009682104,0.02916699850175064,0.00012410399995133048,0.0001574789994265302,has_edge
g_100_Dense_4,100,2970,4950,Dense,0.6,0.7194999998318963,0.02487500023562461,0.0001217085000462248,0.00014127099984762026,has_edge
g_100_Dense_5,100,2970,4950,Dense,0.6,0.6445420003728941,0.026791998607222922,0.0001188334999824292,0.00014222899972082814,has_edge
g_200_Sparse_1,200,995,19900,Sparse,0.05,0.2573330002633156,0.027082998713012785,0.00010960400049953023,6.066649984859396e-05,has_edge
g_200_Sparse_2,200,995,19900,Sparse,0.05,0.278041999990819,0.027957999918726273,0.00016037500063248444,7.193750025180634e-05,has_edge
g_200_Sparse_3,200,995,19900,Sparse,0.05,0.26858299861487467,0.03595799898903351,0.000156312500621425,6.0812500123574864e-05,has_edge
g_200_Sparse_4,200,995,19900,Sparse,0.05,0.26504099878366105,0.054957999964244664,0.0001558124995426624,5.956249970040517e-05,has_edge
g_200_Sparse_5,200,995,19900,Sparse,0.05,0.2660410009411862,0.028374999601510353,0.00011235399961151415,5.931249961577123e-05,has_edge
