GraphID,NumNodes,NumEdges,MaxPossibleEdges,DensityCategory,DensityValue,MatrixCreationTime_ms,ListCreationTime_ms,AvgMatrixDFSTime_ms,AvgListDFSTime_ms,Algorithm
g_dfs_10_Sparse_1,10,9,45,Sparse,0.2,0.08758399962971453,0.0035409993870416656,0.00680800003465265,0.0011165997420903295,DFS
g_dfs_10_Sparse_2,10,9,45,Sparse,0.2,0.021709000066039152,0.002209000740549527,0.005733199941460043,0.0008002007234608755,DFS
g_dfs_10_Sparse_3,10,9,45,Sparse,0.2,0.01912500010803342,0.002708000465645455,0.0057916004152502865,0.0007246002496685833,DFS
g_dfs_10_Sparse_4,10,9,45,Sparse,0.2,0.010957999620586634,0.0015829991752980277,0.0055165997764561325,0.0007083999662427232,DFS
g_dfs_10_Sparse_5,10,9,45,Sparse,0.2,0.015583000276819803,0.0017920010577654466,0.006150000263005495,0.0007749997166683897,DFS
g_dfs_10_Medium_1,10,11,45,Medium,0.24444444444444444,0.015625000742147677,0.002125001628883183,0.006774999928893521,0.0007913997251307592,DFS
g_dfs_10_Medium_2,10,11,45,Medium,0.24444444444444444,0.010334000762668438,0.00145800004247576,0.006158399628475308,0.0008082010026555508,DFS
g_dfs_10_Medium_3,10,11,45,Medium,0.24444444444444444,0.014165998436510563,0.001958000211743638,0.007566600106656551,0.0008332004654221237,DFS
g_dfs_10_Medium_4,10,11,45,Medium,0.24444444444444444,0.009749999662744813,0.0013329990906640887,0.005608200081042014,0.0007579998055007309,DFS
g_dfs_10_Medium_5,10,11,45,Medium,0.24444444444444444,0.013541999578592367,0.0019170001905877143,0.007158000153140165,0.0008581999281886965,DFS
g_dfs_10_Dense_1,10,27,45,Dense,0.6,0.017500000467407517,0.0014999986888142303,0.006458200732595287,0.0011249998351559043,DFS
g_dfs_10_Dense_2,10,27,45,Dense,0.6,0.013333999959286302,0.0013749995559919626,0.0065077998442575336,0.0011663993063848466,DFS
g_dfs_10_Dense_3,10,27,45,Dense,0.6,0.015916999473120086,0.001708000127109699,0.007191599434008822,0.0012002001312794164,DFS
g_dfs_10_Dense_4,10,27,45,Dense,0.6,0.013582999599748291,0.0013749995559919626,0.007141400419641286,0.001183600033982657,DFS
g_dfs_10_Dense_5,10,27,45,Dense,0.6,0.014416998965316452,0.0015829991752980277,0.007116200140444562,0.001166800211649388,DFS
g_dfs_50_Sparse_1,50,61,1225,Sparse,0.04979591836734694,0.03362499955983367,0.006166999810375273,0.0057665998610900715,0.0002334003511350602,DFS
g_dfs_50_Sparse_2,50,61,1225,Sparse,0.04979591836734694,0.03033299981325399,0.005875001079402864,0.1355246004095534,0.004324800465838052,DFS
g_dfs_50_Sparse_3,50,61,1225,Sparse,0.04979591836734694,0.03387499964446761,0.011499998436192982,0.1358831999823451,0.004308200004743412,DFS
g_dfs_50_Sparse_4,50,61,1225,Sparse,0.04979591836734694,0.0352910010406049,0.006250000296859071,0.0031001993193058297,0.00015839978004805744,DFS
g_dfs_50_Sparse_5,50,61,1225,Sparse,0.04979591836734694,0.029666000045835972,0.00583300061407499,0.13006699991819914,0.0037585999962175265,DFS
g_dfs_50_Medium_1,50,306,1225,Medium,0.24979591836734694,0.0887909991433844,0.0075000007200287655,0.14695840036438312,0.007500199717469513,DFS
g_dfs_50_Medium_2,50,306,1225,Medium,0.24979591836734694,0.09366700032842346,0.008082999556791037,0.15164139986154623,0.00725799982319586,DFS
g_dfs_50_Medium_3,50,306,1225,Medium,0.24979591836734694,0.10945800022454932,0.007667000318178907,0.14041659960639663,0.007083399759721942,DFS
g_dfs_50_Medium_4,50,306,1225,Medium,0.24979591836734694,0.12679200153797865,0.008249999154941179,0.19590840020100586,0.008424999396083876,DFS
g_dfs_50_Medium_5,50,306,1225,Medium,0.24979591836734694,0.09037500058184378,0.0070829992182552814,0.13145000011718366,0.007091599763953127,DFS
g_dfs_50_Dense_1,50,735,1225,Dense,0.6,0.18083299983118195,0.009542000043438748,0.17847479939518962,0.02357539997319691,DFS
g_dfs_50_Dense_2,50,735,1225,Dense,0.6,0.1968750002561137,0.011000000085914508,0.14948320022085682,0.01140019994636532,DFS
g_dfs_50_Dense_3,50,735,1225,Dense,0.6,0.18520900084695313,0.0106250008684583,0.1618083999346709,0.013049599147052504,DFS
