GraphID,NumNodes,NumEdges,MaxPossibleEdges,DensityCategory,DensityValue,MatrixCreationTime_ms,ListCreationTime_ms,Matrix_Exec_Time_ms,List_Exec_Time_ms,Algorithm,Algorithm_Name,Algorithm_Type_Code,Best_Representation
g_bfs_100_Sparse_2,100,247.0,4950.0,Sparse,0.0498989898989899,0.0837090010463725,0.0128339997900184,0.5076582005131058,0.0093252005171962,BFS,BFS,0,1
g_bfs_100_Sparse_3,100,247.0,4950.0,Sparse,0.0498989898989899,0.0788750003266613,0.0111249992187367,0.52758320052817,0.0103164002211997,BFS,BFS,0,1
g_bfs_100_Sparse_4,100,247.0,4950.0,Sparse,0.0498989898989899,0.079250001363107,0.010708001354942,0.5365667999285506,0.0104000006103888,BFS,BFS,0,1
g_bfs_100_Sparse_5,100,247.0,4950.0,Sparse,0.0498989898989899,0.0945419997151475,0.0172090003616176,0.5969663994619623,0.0097832002211362,BFS,BFS,0,1
g_bfs_100_Medium_1,100,1237.0,4950.0,Medium,0.2498989898989899,0.2972090005641803,0.0160409999807598,0.5563998001889559,0.0199999998585553,BFS,BFS,0,1
g_bfs_100_Medium_2,100,1237.0,4950.0,Medium,0.2498989898989899,0.28612499954761,0.0173339994944399,0.5565497998759383,0.0202833998628193,BFS,BFS,0,1
g_bfs_100_Medium_3,100,1237.0,4950.0,Medium,0.2498989898989899,0.2767920013866387,0.0155830002768198,0.5146417996002128,0.0208583998755784,BFS,BFS,0,1
g_bfs_100_Medium_4,100,1237.0,4950.0,Medium,0.2498989898989899,0.3294170001026941,0.0154160006786696,0.5651417995977681,0.0200498001504456,BFS,BFS,0,1
g_bfs_100_Medium_5,100,1237.0,4950.0,Medium,0.2498989898989899,0.2824999992299126,0.0188750000233994,0.5336331996659283,0.0211081995075801,BFS,BFS,0,1
g_bfs_100_Dense_1,100,2970.0,4950.0,Dense,0.6,0.7042500001261942,0.0326669996866257,0.5637080001179129,0.039674800063949,BFS,BFS,0,1
g_bfs_100_Dense_2,100,2970.0,4950.0,Dense,0.6,0.6705840005452046,0.0265830003627343,0.56932519946713,0.0423336001404095,BFS,BFS,0,1
g_bfs_100_Dense_3,100,2970.0,4950.0,Dense,0.6,0.6809589995100396,0.0284580000879941,0.5578582000453025,0.0428583996836096,BFS,BFS,0,1
g_bfs_100_Dense_4,100,2970.0,4950.0,Dense,0.6,0.6600420001632301,0.0246669987973291,0.540375000127824,0.0426249996962724,BFS,BFS,0,1
g_bfs_100_Dense_5,100,2970.0,4950.0,Dense,0.6,0.6420839999918826,0.0273749992629745,0.6287832002271898,0.0506166008563013,BFS,BFS,0,1
g_bfs_200_Sparse_1,200,995.0,19900.0,Sparse,0.05,0.2650000005814945,0.0255420000030426,2.104091599903768,0.0259751992416568,BFS,BFS,0,1
g_bfs_200_Sparse_2,200,995.0,19900.0,Sparse,0.05,0.2517080010875361,0.0280839994957204,2.089325000270037,0.0280581996776163,BFS,BFS,0,1
g_bfs_200_Sparse_3,200,995.0,19900.0,Sparse,0.05,0.2704580001591239,0.0294579986075405,2.141649999612127,0.0257915995462099,BFS,BFS,0,1
g_bfs_200_Sparse_4,200,995.0,19900.0,Sparse,0.05,0.2803749994200188,0.066000000515487,2.119166599732125,0.0270748001639731,BFS,BFS,0,1
g_bfs_200_Sparse_5,200,995.0,19900.0,Sparse,0.05,0.2737920003710314,0.0306660003843717,2.096608199281036,0.0270501997874816,BFS,BFS,0,1
g_bfs_200_Medium_1,200,4975.0,19900.0,Medium,0.25,1.0741660007624887,0.0476660006825113,2.1680167999875266,0.0734584002202609,BFS,BFS,0,1
g_bfs_200_Medium_2,200,4975.0,19900.0,Medium,0.25,1.163667000582791,0.0497920009365771,2.163533400016604,0.0727834001736482,BFS,BFS,0,1
g_bfs_200_Medium_3,200,4975.0,19900.0,Medium,0.25,1.124750000599306,0.0459170005342457,2.132991799589945,0.0738415998057462,BFS,BFS,0,1
g_bfs_200_Medium_4,200,4975.0,19900.0,Medium,0.25,1.1343749993102392,0.0449589988420484,2.1701999998185784,0.0719331994332606,BFS,BFS,0,1
g_bfs_200_Medium_5,200,4975.0,19900.0,Medium,0.25,1.1216670009162044,0.0457090009149396,2.1835915995325195,0.0701498003763845,BFS,BFS,0,1
g_bfs_200_Dense_1,200,11940.0,19900.0,Dense,0.6,2.575667000201065,0.0827080002636648,2.190016600434319,0.1685334002104355,BFS,BFS,0,1
g_bfs_200_Dense_2,200,11940.0,19900.0,Dense,0.6,2.50758299989684,0.0660419991618255,2.274241800478194,0.1592167998751392,BFS,BFS,0,1
